K;L;objective;type;color
2;2;1.66683;MWU;#1f77b4
2;2;2.16655;CRA;#ff7f0e
2;3;1.91676;MWU;#1f77b4
2;3;3.16645;CRA;#ff7f0e
2;4;1.93339;MWU;#1f77b4
2;4;4.16633;CRA;#ff7f0e
2;5;1.90562;MWU;#1f77b4
2;5;5.16623;CRA;#ff7f0e
2;6;1.87909;MWU;#1f77b4
2;6;6.16611;CRA;#ff7f0e
2;7;1.8577;MWU;#1f77b4
2;7;7.166;CRA;#ff7f0e
2;8;1.84036;MWU;#1f77b4
2;8;8.1659;CRA;#ff7f0e
2;9;1.82591;MWU;#1f77b4
2;9;9.16577;CRA;#ff7f0e
3;2;2.02202;MWU;#1f77b4
3;2;3.33551;CRA;#ff7f0e
3;3;2.23595;MWU;#1f77b4
3;3;5.33545;CRA;#ff7f0e
3;4;2.2193;MWU;#1f77b4
3;4;6.24633;CRA;#ff7f0e
3;5;2.18006;MWU;#1f77b4
3;5;8.17488;CRA;#ff7f0e
3;6;2.1482;MWU;#1f77b4
3;6;9.02329;CRA;#ff7f0e
3;7;2.12334;MWU;#1f77b4
3;7;11.0962;CRA;#ff7f0e
3;8;2.10349;MWU;#1f77b4
3;8;15.7909;CRA;#ff7f0e
