N;K;objective;type;color
10;10;2.92921;MWU;#1f77b4
10;10;2.95732;CRA;#ff7f0e
10;20;2.92921;MWU;#1f77b4
10;20;2.95141;CRA;#ff7f0e
10;30;2.92921;MWU;#1f77b4
10;30;2.96128;CRA;#ff7f0e
10;40;2.92921;MWU;#1f77b4
10;40;2.95396;CRA;#ff7f0e
10;50;2.92921;MWU;#1f77b4
10;50;2.95282;CRA;#ff7f0e
20;10;3.59796;MWU;#1f77b4
20;10;3.54489;CRA;#ff7f0e
20;20;3.59796;MWU;#1f77b4
20;20;3.55895;CRA;#ff7f0e
20;30;3.59796;MWU;#1f77b4
20;30;3.55864;CRA;#ff7f0e
20;40;3.59796;MWU;#1f77b4
20;40;3.55767;CRA;#ff7f0e
20;50;3.59796;MWU;#1f77b4
20;50;3.55994;CRA;#ff7f0e
30;10;3.99525;MWU;#1f77b4
30;10;3.81638;CRA;#ff7f0e
30;20;3.99525;MWU;#1f77b4
30;20;3.85227;CRA;#ff7f0e
30;30;3.99525;MWU;#1f77b4
30;30;3.84677;CRA;#ff7f0e
30;40;3.99525;MWU;#1f77b4
30;40;3.84726;CRA;#ff7f0e
30;50;3.99525;MWU;#1f77b4
30;50;3.84919;CRA;#ff7f0e
40;10;4.27881;MWU;#1f77b4
40;10;3.9983;CRA;#ff7f0e
40;20;4.27881;MWU;#1f77b4
40;20;4.02682;CRA;#ff7f0e
40;30;4.27881;MWU;#1f77b4
40;30;4.0259;CRA;#ff7f0e
40;40;4.27881;MWU;#1f77b4
40;40;4.03021;CRA;#ff7f0e
40;50;4.27881;MWU;#1f77b4
40;50;4.03187;CRA;#ff7f0e
50;10;4.49957;MWU;#1f77b4
50;10;4.14163;CRA;#ff7f0e
50;20;4.49957;MWU;#1f77b4
50;20;4.16836;CRA;#ff7f0e
50;30;4.49957;MWU;#1f77b4
50;30;4.16784;CRA;#ff7f0e
50;40;4.49957;MWU;#1f77b4
50;40;4.18695;CRA;#ff7f0e
50;50;4.49957;MWU;#1f77b4
50;50;4.16128;CRA;#ff7f0e
